ID;NR;WOJ;POW;MI;NAZWA;ERR
43119;SG146-1506;dolnośląskie;wrocławski;wrocław;Grunt rolny na sprzedaż wrocław, Pawłowice;miasto (wrocław) znalezionej lokazizacji nie pasuje (Kamieniec Wrocławski) - lokalizacja dolnośląskie, wrocławski, wrocław
43123;SM147-521;warmińsko-mazurskie;giżycki;Jagodne Małe;Mieszkanie na sprzedaż w bloku Jagodne Małe;brak lokalizacji warmińsko-mazurskie, giżycki, Jagodne Małe
43499;WO189-70;wielkopolskie;kaliski;Kalisz;Magazyn na wynajem Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
43599;WO189-78;wielkopolskie;kaliski;Kalisz;Inny komercyjny na wynajem Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
43670;SM158-334;mazowieckie;radomski;Radom;Mieszkanie na sprzedaż w bloku Radom, Centrum;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
43674;WL158-327;mazowieckie;radomski;Radom;Lokal handlowy na wynajem Radom;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
43690;SD158-286;mazowieckie;radomski;Radom;Dom wolnostojący na sprzedaż Radom, Glinice;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
43699;SD158-229;mazowieckie;radomski;Radom;Dom wolnostojący na sprzedaż Radom, Zamłynie;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
43902;WL189-81;wielkopolskie;kaliski;Kalisz;Lokal usługowy na wynajem Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
43963;SG084-4440;łódzkie;piotrkowski;Witów Kolonia;Działka budowlana na sprzedaż Witów Kolonia, Kolonia Witów;miasto (Witów Kolonia) znalezionej lokazizacji nie pasuje (Witów-Kolonia) - lokalizacja łódzkie, piotrkowski, Witów Kolonia
44091;SG181-353;śląskie;myszkowski;Żarki  Czarka;Działka rekreacyjna na sprzedaż Żarki  Czarka, Czarka;miasto (Żarki  Czarka) znalezionej lokazizacji nie pasuje (Żarki) - lokalizacja śląskie, myszkowski, Żarki  Czarka
44684;SM158-434;mazowieckie;radomski;Radom;Mieszkanie na sprzedaż w kamienicy Radom, Centrum;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
44695;SD158-348;mazowieckie;radomski;Radom;Dom wolnostojący na sprzedaż Radom;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
44698;SG158-321;mazowieckie;radomski;Radom;Działka budowlana na sprzedaż Radom, Prędocinek;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
44704;SD158-295;mazowieckie;radomski;Radom;Dom wolnostojący na sprzedaż Radom;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
44716;SD158-158;mazowieckie;radomski;Radom;Dom w zabudowie szeregowej na sprzedaż Radom, Józefów;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
44861;SM158-447;mazowieckie;radomski;Radom;Na sprzedaż mieszkanie w bloku Radom, Ustronie;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
44973;SM087-1461;pomorskie;inny;Tczew;Na sprzedaż mieszkanie w bloku Tczew;brak lokalizacji pomorskie, inny, Tczew
45391;SG152-1177;dolnośląskie;wałbrzyski;Wałbrzych;Grunt inwestycyjny na sprzedaż Wałbrzych, Poniatów;brak lokalizacji dolnośląskie, wałbrzyski, Wałbrzych
47056;SG025-6203;lubuskie;strzelecko-drezdenecki;Międzyrzecz;Grunt inwestycyjny na sprzedaż Międzyrzecz, 90 km od Poznania;brak lokalizacji lubuskie, strzelecko-drezdenecki, Międzyrzecz
47166;WM105-7618;zachodniopomorskie;policki;Bezrzecze;Mieszkanie na wynajem w kamienicy Bezrzecze;brak lokalizacji zachodniopomorskie, policki, Bezrzecze
47423;SG128-3434;pomorskie;kwidzyński;Orkusz;Działka rekreacyjna na sprzedaż Orkusz;brak lokalizacji pomorskie, kwidzyński, Orkusz
47425;SG128-3433;pomorskie;kwidzyński;Orkusz;Grunt rolny na sprzedaż Orkusz;brak lokalizacji pomorskie, kwidzyński, Orkusz
47427;SG128-3432;pomorskie;kwidzyński;Orkusz;Działka rekreacyjna na sprzedaż Orkusz;brak lokalizacji pomorskie, kwidzyński, Orkusz
47428;SG128-3431;pomorskie;kwidzyński;Orkusz;Grunt rolny na sprzedaż Orkusz;brak lokalizacji pomorskie, kwidzyński, Orkusz
47429;SG128-3430;pomorskie;kwidzyński;Orkusz;Grunt rolny na sprzedaż Orkusz;brak lokalizacji pomorskie, kwidzyński, Orkusz
47430;SG128-3429;pomorskie;kwidzyński;Orkusz;Grunt rolny na sprzedaż Orkusz;brak lokalizacji pomorskie, kwidzyński, Orkusz
47439;SG128-3426;pomorskie;kwidzyński;Orkusz;Działka rekreacyjna na sprzedaż Orkusz;brak lokalizacji pomorskie, kwidzyński, Orkusz
47440;SG128-3425;pomorskie;kwidzyński;Orkusz;Działka rekreacyjna na sprzedaż Orkusz;brak lokalizacji pomorskie, kwidzyński, Orkusz
47443;SG128-3422;pomorskie;kwidzyński;Orkusz;Działka rekreacyjna na sprzedaż Orkusz;brak lokalizacji pomorskie, kwidzyński, Orkusz
47464;SD084-4467;łódzkie;piotrkowski;Piotrków Trybunalski;Dom wolnostojący na sprzedaż Piotrków Trybunalski, Witów;brak lokalizacji łódzkie, piotrkowski, Piotrków Trybunalski
47946;SO152-1226;dolnośląskie;wałbrzyski;Wałbrzych;Biurowiec na sprzedaż Wałbrzych;brak lokalizacji dolnośląskie, wałbrzyski, Wałbrzych
48076;SO152-1230;dolnośląskie;legnicki;Legnica;Biurowiec na sprzedaż Legnica;brak lokalizacji dolnośląskie, legnicki, Legnica
48163;SO152-1234;lubelskie;lubelski;Lublin;Biurowiec na sprzedaż Lublin;brak lokalizacji lubelskie, lubelski, Lublin
48200;SO152-1235;śląskie;gliwicki;Gliwice;Biurowiec na sprzedaż Gliwice;brak lokalizacji śląskie, gliwicki, Gliwice
48246;SO152-1240;śląskie;tyski;Tychy;Biurowiec na sprzedaż Tychy;brak lokalizacji śląskie, tyski, Tychy
48282;SO152-1249;podlaskie;białostocki;Białystok;Biurowiec na sprzedaż Białystok;brak lokalizacji podlaskie, białostocki, Białystok
48283;SO152-1248;lubelskie;chełmski;Chełm;Biurowiec na sprzedaż Chełm;miasto (Chełm) znalezionej lokazizacji nie pasuje (Białopole) - lokalizacja lubelskie, chełmski, Chełm
48296;SO152-1262;warmińsko-mazurskie;olsztyński;Olsztyn;Biurowiec na sprzedaż Olsztyn;miasto (Olsztyn) znalezionej lokazizacji nie pasuje (Barczewko) - lokalizacja warmińsko-mazurskie, olsztyński, Olsztyn
48360;SO152-1295;kujawsko-pomorskie;włocławski;Włocławek;Biurowiec na sprzedaż Włocławek;brak lokalizacji kujawsko-pomorskie, włocławski, Włocławek
48402;SO152-1307;kujawsko-pomorskie;włocławski;Włocławek;Biurowiec na sprzedaż Włocławek;brak lokalizacji kujawsko-pomorskie, włocławski, Włocławek
48763;SD168-489;zachodniopomorskie;kołobrzeski;Gąski;Dom wolnostojący na sprzedaż Gąski;brak lokalizacji zachodniopomorskie, kołobrzeski, Gąski
48963;WL189-130;wielkopolskie;kaliski;Kalisz;Lokal usługowy na wynajem Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
49446;SO189-135;wielkopolskie;kaliski;Kalisz;Inny komercyjny na sprzedaż Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
49634;SD155-29;dolnośląskie;inny;Strzelin;Willa na sprzedaż Strzelin;brak lokalizacji dolnośląskie, inny, Strzelin
49802;SO186-1246;lubuskie;gorzowski;Gorzów Wielkopolski;Biurowiec na sprzedaż Gorzów Wielkopolski;brak lokalizacji lubuskie, gorzowski, Gorzów Wielkopolski
49853;SD147-556;warmińsko-mazurskie;giżycki;Doba;Dom bliźniak na sprzedaż Doba;brak lokalizacji warmińsko-mazurskie, giżycki, Doba
50133;SO152-1339;wielkopolskie;poznański;Poznań;Biurowiec na sprzedaż Poznań;miasto (Poznań) znalezionej lokazizacji nie pasuje (Cieśle) - lokalizacja wielkopolskie, poznański, Poznań
50151;SO186-1266;lubuskie;gorzowski;Gorzów Wielkopolski;Biurowiec na sprzedaż Gorzów Wielkopolski;brak lokalizacji lubuskie, gorzowski, Gorzów Wielkopolski
50315;SO147-559;warmińsko-mazurskie;giżycki;Bystry;Warsztat na sprzedaż Bystry;brak lokalizacji warmińsko-mazurskie, giżycki, Bystry
50492;SG144-581;podlaskie;suwalski;Mikołajewo;Grunt rolny na sprzedaż Mikołajewo;brak lokalizacji podlaskie, suwalski, Mikołajewo
50907;SO152-1363;wielkopolskie;kościański;Gostyń;Biurowiec na sprzedaż Gostyń;brak lokalizacji wielkopolskie, kościański, Gostyń
51338;SP189-154;wielkopolskie;kaliski;Kalisz;Garaż wolnostojący na sprzedaż Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
51340;SM189-153;wielkopolskie;kaliski;Kalisz;Mieszkanie na sprzedaż w kamienicy Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
51504;SO152-1424;mazowieckie;warszawski zachodni;Warszawa;Biurowiec na sprzedaż Warszawa;brak lokalizacji mazowieckie, warszawski zachodni, Warszawa
51505;SO152-1423;mazowieckie;warszawski zachodni;Warszawa;Biurowiec na sprzedaż Warszawa;brak lokalizacji mazowieckie, warszawski zachodni, Warszawa
51521;WL041-15163;dolnośląskie;wrocławski;Wrocław;Lokal usługowy na wynajem Wrocław;miasto (Wrocław) znalezionej lokazizacji nie pasuje (Kamieniec Wrocławski) - lokalizacja dolnośląskie, wrocławski, Wrocław
51886;SD152-1427;wielkopolskie;inny;Boszkowo;Dom wolnostojący na sprzedaż Boszkowo;brak lokalizacji wielkopolskie, inny, Boszkowo
51906;SG186-1301;dolnośląskie;lwówecki;Świeradów Zdrój;Grunt inwestycyjny na sprzedaż Świeradów Zdrój;brak lokalizacji dolnośląskie, lwówecki, Świeradów Zdrój
52086;SG105-7975;lubelskie;inny;Zwierzyn;Działka rekreacyjna na sprzedaż Zwierzyn, Łącznica;brak lokalizacji lubelskie, inny, Zwierzyn
52095;SM032-3351;warmińsko-mazurskie;piski;Suchy Róg;Mieszkanie w budynku mieszkalnym na sprzedaż Suchy Róg;brak lokalizacji warmińsko-mazurskie, piski, Suchy Róg
52336;SO152-1439;mazowieckie;radomski;Radom;Biurowiec na sprzedaż Radom;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
52401;SO152-1453;mazowieckie;ostrołęcki;Ostrołęka;Biurowiec na sprzedaż Ostrołęka;brak lokalizacji mazowieckie, ostrołęcki, Ostrołęka
52706;SO152-1468;mazowieckie;płocki;Płock;Biurowiec na sprzedaż Płock;miasto (Płock) znalezionej lokazizacji nie pasuje (Bielsk) - lokalizacja mazowieckie, płocki, Płock
52709;SO152-1465;mazowieckie;siedlecki;Siedlce;Biurowiec na sprzedaż Siedlce;brak lokalizacji mazowieckie, siedlecki, Siedlce
53066;SD158-567;mazowieckie;radomski;Radom;Dom wolnostojący na sprzedaż Radom, Nad Potokiem;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
53082;SO152-1474;mazowieckie;radomski;Radom;Biurowiec na sprzedaż Radom;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
53090;SO152-1478;mazowieckie;radomski;Radom;Biurowiec na sprzedaż Radom;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
53145;SG128-3515;warmińsko-mazurskie;iławski;Bronowo;Działka budowlana na sprzedaż Bronowo;brak lokalizacji warmińsko-mazurskie, iławski, Bronowo
53159;SG128-3519;warmińsko-mazurskie;iławski;Bronowo;Działka budowlana na sprzedaż Bronowo;brak lokalizacji warmińsko-mazurskie, iławski, Bronowo
53160;SG128-3518;warmińsko-mazurskie;iławski;Bronowo;Działka budowlana na sprzedaż Bronowo;brak lokalizacji warmińsko-mazurskie, iławski, Bronowo
53970;SD195-4;pomorskie;inny;Książęce Żuławy;Dom wolnostojący na sprzedaż Książęce Żuławy;brak lokalizacji pomorskie, inny, Książęce Żuławy
54478;SG128-3522;warmińsko-mazurskie;iławski;Bronowo;Działka budowlana na sprzedaż Bronowo;brak lokalizacji warmińsko-mazurskie, iławski, Bronowo
54479;SG128-3521;warmińsko-mazurskie;iławski;Bronowo;Działka budowlana na sprzedaż Bronowo;brak lokalizacji warmińsko-mazurskie, iławski, Bronowo
54880;SG188-1006;śląskie;Częstochowa (grodzki);Czarny Las;Działka budowlana na sprzedaż Czarny Las;miasto (Czarny Las) znalezionej lokazizacji nie pasuje (Woźniki) - lokalizacja śląskie, Czarny Las
54926;SD188-1007;śląskie;Częstochowa (grodzki);Czarny Las;Dom wolnostojący na sprzedaż Czarny Las;miasto (Czarny Las) znalezionej lokazizacji nie pasuje (Woźniki) - lokalizacja śląskie, Czarny Las
55107;SG105-8197;zachodniopomorskie;policki;Przecław;Grunt inwestycyjny na sprzedaż Przecław;brak lokalizacji zachodniopomorskie, policki, Przecław
55197;WL105-8208;zachodniopomorskie;policki;Bezrzecze;Lokal usługowy na wynajem Bezrzecze;brak lokalizacji zachodniopomorskie, policki, Bezrzecze
55387;SG146-1624;dolnośląskie;wrocławski;wrocław;Grunt rolny na sprzedaż wrocław, Pawłowice;miasto (wrocław) znalezionej lokazizacji nie pasuje (Kamieniec Wrocławski) - lokalizacja dolnośląskie, wrocławski, wrocław
55499;SG087-1643;pomorskie;tczewski;Zabagno;Działka budowlana na sprzedaż Zabagno;brak lokalizacji pomorskie, tczewski, Zabagno
55576;SO063-24871;śląskie;cieszyński;Ustroń okolice;Restauracja na sprzedaż Ustroń okolice;brak lokalizacji śląskie, cieszyński, Ustroń okolice
56791;SD158-582;mazowieckie;radomski;Radom;Dom wolnostojący na sprzedaż Radom;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
57177;SO152-1534;pomorskie;pucki;Rekowo Górne;Biurowiec na sprzedaż Rekowo Górne;brak lokalizacji pomorskie, pucki, Rekowo Górne
57193;SD152-1520;dolnośląskie;górowski;GÓRA;Dom wolnostojący na sprzedaż GÓRA;miasto (GÓRA) znalezionej lokazizacji nie pasuje (Góra) - lokalizacja dolnośląskie, górowski, GÓRA
57873;SD189-227;wielkopolskie;kaliski;Kalisz;Dom bliźniak na sprzedaż Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
57884;SD128-3645;kujawsko-pomorskie;grudziądzki;Grudziądz;Dom wolnostojący na sprzedaż Grudziądz;miasto (Grudziądz) znalezionej lokazizacji nie pasuje (Brankówka) - lokalizacja kujawsko-pomorskie, grudziądzki, Grudziądz
58182;SG181-410;śląskie;myszkowski;Kuźnica Nowa;Działka budowlana na sprzedaż Kuźnica Nowa;miasto (Kuźnica Nowa) znalezionej lokazizacji nie pasuje (Nowa Kuźnica) - lokalizacja śląskie, myszkowski, Kuźnica Nowa
58190;SG181-409;śląskie;myszkowski;Kuźnica Nowa;Działka budowlana na sprzedaż Kuźnica Nowa;miasto (Kuźnica Nowa) znalezionej lokazizacji nie pasuje (Nowa Kuźnica) - lokalizacja śląskie, myszkowski, Kuźnica Nowa
58203;SO144-610;podlaskie;suwalski;Suwałki;Inny komercyjny na sprzedaż Suwałki, os. Północ II;brak lokalizacji podlaskie, suwalski, Suwałki
58764;SO015-9692;dolnośląskie;jeleniogórski;Jelenia Góra;Budynek handlowy na sprzedaż Jelenia Góra;brak lokalizacji dolnośląskie, jeleniogórski, Jelenia Góra
58943;SD094-1179;dolnośląskie;lubiński;PIESZKÓW;Dom wolnostojący na sprzedaż PIESZKÓW;miasto (PIESZKÓW) znalezionej lokazizacji nie pasuje (Pieszków) - lokalizacja dolnośląskie, lubiński, PIESZKÓW
59044;SD128-3646;kujawsko-pomorskie;grudziądzki;Grudziądz;Dom wolnostojący na sprzedaż Grudziądz;miasto (Grudziądz) znalezionej lokazizacji nie pasuje (Brankówka) - lokalizacja kujawsko-pomorskie, grudziądzki, Grudziądz
59180;SG084-4590;łódzkie;tomaszowski;Konewka;Działka budowlana na sprzedaż Konewka;brak lokalizacji łódzkie, tomaszowski, Konewka
59277;SO189-246;wielkopolskie;kaliski;Kalisz;Hotel na sprzedaż Kalisz, Rypinek;brak lokalizacji wielkopolskie, kaliski, Kalisz
59367;SD150-853;dolnośląskie;kłodzki;Długopole Zdrój;Dom wolnostojący na sprzedaż Długopole Zdrój;miasto (Długopole Zdrój) znalezionej lokazizacji nie pasuje (Długopole-Zdrój) - lokalizacja dolnośląskie, kłodzki, Długopole Zdrój
59471;WL189-251;wielkopolskie;kaliski;Kalisz;Lokal biurowy na wynajem Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
59472;WL189-250;wielkopolskie;kaliski;Kalisz;Lokal biurowy na wynajem Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
59473;WL189-248;wielkopolskie;kaliski;Kalisz;Lokal biurowy na wynajem Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
59624;SO010-3176;dolnośląskie;jeleniogórski;Jelenia Góra;Biurowiec na sprzedaż Jelenia Góra;brak lokalizacji dolnośląskie, jeleniogórski, Jelenia Góra
59674;SL189-256;wielkopolskie;kaliski;Kalisz;Lokal usługowy na sprzedaż Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
59855;SG152-1626;wielkopolskie;wschowski;Miastko;Działka rekreacyjna na sprzedaż Miastko;brak lokalizacji wielkopolskie, wschowski, Miastko
60676;SO158-608;mazowieckie;kozienicki;Pionki;Pensjonat na sprzedaż Pionki, centrum;brak lokalizacji mazowieckie, kozienicki, Pionki
60688;SO144-631;podlaskie;suwalski;Suwałki;Hala przemysłowa na sprzedaż Suwałki, Papiernia;brak lokalizacji podlaskie, suwalski, Suwałki
60917;SO152-1677;wielkopolskie;leszczyński;Leszno;Kamienica na sprzedaż Leszno;brak lokalizacji wielkopolskie, leszczyński, Leszno
61017;SG084-4608;łódzkie;piotrkowski;Piotrków Trybunalski;Grunt inwestycyjny na sprzedaż Piotrków Trybunalski, Poniatów;brak lokalizacji łódzkie, piotrkowski, Piotrków Trybunalski
61048;SM158-609;mazowieckie;radomski;Radom;Mieszkanie na sprzedaż w kamienicy Radom, Śródmieście;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
61215;SO181-432;śląskie;częstochowski;Poraj;Budynek usługowy na sprzedaż Poraj;brak lokalizacji śląskie, częstochowski, Poraj
61333;SD053-2132;małopolskie;inny;Gręboszów;Dom wolnostojący na sprzedaż Gręboszów;brak lokalizacji małopolskie, inny, Gręboszów
61377;SG158-614;mazowieckie;radomski;Radom;Działka budowlana na sprzedaż Radom;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
61460;SD147-660;warmińsko-mazurskie;mrągowski;Grabek;Dom wolnostojący na sprzedaż Grabek;brak lokalizacji warmińsko-mazurskie, mrągowski, Grabek
61718;SG186-1434;lubuskie;zielonogórski;Zielona Góra;Działka budowlana na sprzedaż Zielona Góra, Sucha;brak lokalizacji lubuskie, zielonogórski, Zielona Góra
61723;SG186-1432;lubuskie;zielonogórski;Zielona Góra;Działka budowlana na sprzedaż Zielona Góra, Sucha;brak lokalizacji lubuskie, zielonogórski, Zielona Góra
61945;SO015-9971;dolnośląskie;jeleniogórski;Jelenia Góra;Hotel na sprzedaż Jelenia Góra;brak lokalizacji dolnośląskie, jeleniogórski, Jelenia Góra
61964;WO189-271;wielkopolskie;kaliski;kalisz;Magazyn na wynajem kalisz;brak lokalizacji wielkopolskie, kaliski, kalisz
61987;WM105-8812;zachodniopomorskie;policki;Bezrzecze;Mieszkanie na wynajem w nowym budynku Bezrzecze;brak lokalizacji zachodniopomorskie, policki, Bezrzecze
62052;SG186-1435;lubuskie;zielonogórski;Zielona Góra;Działka budowlana na sprzedaż Zielona Góra, Jędrzychów;brak lokalizacji lubuskie, zielonogórski, Zielona Góra
62202;SD158-620;mazowieckie;radomski;Radom;Dom wolnostojący na sprzedaż Radom, Zamłynie;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
62218;WM189-357;wielkopolskie;kaliski;Kalisz;Mieszkanie w budynku mieszkalnym na wynajem Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
62301;SG128-3750;pomorskie;kwidzyński;Orkusz;Działka rekreacyjna na sprzedaż Orkusz;brak lokalizacji pomorskie, kwidzyński, Orkusz
62412;WL146-1691;wielkopolskie;leszczyński;Leszno;Lokal usługowy na wynajem Leszno;brak lokalizacji wielkopolskie, leszczyński, Leszno
62535;WL146-1696;wielkopolskie;leszczyński;Leszno;Lokal biurowy na wynajem Leszno;brak lokalizacji wielkopolskie, leszczyński, Leszno
62738;SD181-441;śląskie;myszkowski;okolice Myszkowa;Dom wolnostojący na sprzedaż okolice Myszkowa;brak lokalizacji śląskie, myszkowski, okolice Myszkowa
63135;SD158-623;mazowieckie;radomski;Radom;Dom wolnostojący na sprzedaż Radom;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
63146;WO146-1718;wielkopolskie;leszczyński;Leszno;Hala produkcyjna na wynajem Leszno;brak lokalizacji wielkopolskie, leszczyński, Leszno
63476;SD158-624;mazowieckie;radomski;Radom;Dom wolnostojący na sprzedaż Radom;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
63677;WD105-8978;zachodniopomorskie;policki;Bezrzecze;Dom wolnostojący na wynajem Bezrzecze;brak lokalizacji zachodniopomorskie, policki, Bezrzecze
64018;SD122-2118;łódzkie;inny;Łódź;Dom wolnostojący na sprzedaż Łódź;brak lokalizacji łódzkie, inny, Łódź
64163;SG146-1739;wielkopolskie;leszczyński;leszno;Grunt inwestycyjny na sprzedaż leszno;brak lokalizacji wielkopolskie, leszczyński, leszno
64359;SM189-395;wielkopolskie;kaliski;Kalisz;Mieszkanie na sprzedaż w bloku Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
64367;SD,SG096-1252;łódzkie;wieluński;Złoczew;Dom gospodarczy na sprzedaż Złoczew;brak lokalizacji łódzkie, wieluński, Złoczew
64659;SD186-1469;lubuskie;zielonogórski;Zielona Góra;Dom w zabudowie szeregowej na sprzedaż Zielona Góra, Łężyca;brak lokalizacji lubuskie, zielonogórski, Zielona Góra
65054;SM079-2060;warmińsko-mazurskie;olecki;Gordejki Małe;Mieszkanie w budynku mieszkalnym na sprzedaż Gordejki Małe;brak lokalizacji warmińsko-mazurskie, olecki, Gordejki Małe
65297;SD122-2127;łódzkie;łaski;Kolumna;Dom w zabudowie szeregowej na sprzedaż Kolumna;miasto (Kolumna) znalezionej lokazizacji nie pasuje (Łask) - lokalizacja łódzkie, łaski, Kolumna
65410;WL087-1745;pomorskie;gdański;Gdańsk;Lokal biurowy na wynajem Gdańsk, Wrzeszcz;miasto (Gdańsk) znalezionej lokazizacji nie pasuje (Pruszcz Gdański) - lokalizacja pomorskie, gdański, Gdańsk
65421;SD,SL,SO067-627;zachodniopomorskie;sławieński;Darłówko;na sprzedaż Dom Darłówko, Darłówko Zachodnie;miasto (Darłówko) znalezionej lokazizacji nie pasuje (Darłowo) - lokalizacja zachodniopomorskie, sławieński, Darłówko
65670;WL030-11155;zachodniopomorskie;koszaliński;Koszalin;Lokal biurowy na wynajem Koszalin, Centrum;miasto (Koszalin) znalezionej lokazizacji nie pasuje (Kraśnik Koszaliński) - lokalizacja zachodniopomorskie, koszaliński, Koszalin
65694;SL087-1748;pomorskie;gdański;Gdańsk;Lokal biurowy na sprzedaż Gdańsk, Wrzeszcz;miasto (Gdańsk) znalezionej lokazizacji nie pasuje (Pruszcz Gdański) - lokalizacja pomorskie, gdański, Gdańsk
65722;SD181-457;śląskie;myszkowski;Huta Stara;Dom wolnostojący na sprzedaż Huta Stara;miasto (Huta Stara) znalezionej lokazizacji nie pasuje (Stara Huta) - lokalizacja śląskie, myszkowski, Huta Stara
65799;SM147-697;warmińsko-mazurskie;węgorzewski;Pniewo;Mieszkanie w budynku mieszkalnym na sprzedaż Pniewo;brak lokalizacji warmińsko-mazurskie, węgorzewski, Pniewo
65806;SG084-3870;łódzkie;piotrkowski;Raków Kolonia;Grunt inwestycyjny na sprzedaż Raków Kolonia;brak lokalizacji łódzkie, piotrkowski, Raków Kolonia
65827;SG198-17;małopolskie;krakowski;Kraków;Działka budowlana na sprzedaż Kraków;miasto (Kraków) znalezionej lokazizacji nie pasuje (Czernichów) - lokalizacja małopolskie, krakowski, Kraków
66198;SO158-633;dolnośląskie;inny;Wojcieszyce;Hotel na sprzedaż Wojcieszyce, wojcieszyce;brak lokalizacji dolnośląskie, inny, Wojcieszyce
66268;SG015-10288;dolnośląskie;jeleniogórski;Złotoryja;Grunt inwestycyjny na sprzedaż Złotoryja;brak lokalizacji dolnośląskie, jeleniogórski, Złotoryja
66710;SG198-64;małopolskie;krakowski;Kraków;Działka budowlana na sprzedaż Kraków;miasto (Kraków) znalezionej lokazizacji nie pasuje (Czernichów) - lokalizacja małopolskie, krakowski, Kraków
66769;SD198-79;małopolskie;krakowski;Kraków;Dom wolnostojący na sprzedaż Kraków;miasto (Kraków) znalezionej lokazizacji nie pasuje (Czernichów) - lokalizacja małopolskie, krakowski, Kraków
66839;SO030-11297;pomorskie;słupski;Krzynia;Pensjonat na sprzedaż Krzynia;brak lokalizacji pomorskie, słupski, Krzynia
66977;SG025-7406;małopolskie;krakowski;Prandocin Iły;Działka budowlana na sprzedaż Prandocin Iły;miasto (Prandocin Iły) znalezionej lokazizacji nie pasuje (Prandocin-Iły) - lokalizacja małopolskie, krakowski, Prandocin Iły
67025;SG087-1761;pomorskie;tczewski;Zabagno;Działka budowlana na sprzedaż Zabagno;brak lokalizacji pomorskie, tczewski, Zabagno
67066;SD189-500;wielkopolskie;kaliski;Kalisz;Dom w zabudowie szeregowej na sprzedaż Kalisz, Asnyka;brak lokalizacji wielkopolskie, kaliski, Kalisz
67267;WL158-639;mazowieckie;radomski;Radom;Lokal usługowy na wynajem Radom;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
67444;SO152-1950;dolnośląskie;lubiński;Owczary;Warsztat na sprzedaż Owczary;brak lokalizacji dolnośląskie, lubiński, Owczary
67447;SD152-1949;dolnośląskie;lubiński;Owczary;Dom z warsztatem na sprzedaż Owczary;brak lokalizacji dolnośląskie, lubiński, Owczary
67896;SD150-946;dolnośląskie;kłodzki;Polanica Zdrój;Dom wolnostojący na sprzedaż Polanica Zdrój;miasto (Polanica Zdrój) znalezionej lokazizacji nie pasuje (Polanica-Zdrój) - lokalizacja dolnośląskie, kłodzki, Polanica Zdrój
67988;SG158-642;warmińsko-mazurskie;inny;Elganowo;Działka rekreacyjna na sprzedaż Elganowo;brak lokalizacji warmińsko-mazurskie, inny, Elganowo
